
2022/01/31 (14:56:58) | ===> btop++ v.1.1.4
2022/01/31 (14:56:58) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (14:56:58) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (14:57:10) | ===> btop++ v.1.1.4
2022/01/31 (14:57:10) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (14:57:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (14:57:38) | ===> btop++ v.1.1.4
2022/01/31 (14:57:38) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (14:57:38) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (14:58:06) | ===> btop++ v.1.1.4
2022/01/31 (14:58:06) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (14:58:06) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (14:58:40) | ===> btop++ v.1.1.4
2022/01/31 (14:58:40) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (14:58:40) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (14:59:36) | ===> btop++ v.1.1.4
2022/01/31 (14:59:36) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (14:59:36) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (14:59:52) | ===> btop++ v.1.1.4
2022/01/31 (14:59:52) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (14:59:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:00:12) | ===> btop++ v.1.1.4
2022/01/31 (15:00:12) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:00:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:01:22) | ===> btop++ v.1.1.4
2022/01/31 (15:01:22) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:01:22) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:02:02) | ===> btop++ v.1.1.4
2022/01/31 (15:02:02) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:02:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:02:11) | ===> btop++ v.1.1.4
2022/01/31 (15:02:11) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:02:11) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:02:37) | ===> btop++ v.1.1.4
2022/01/31 (15:02:37) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:02:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:03:01) | ===> btop++ v.1.1.4
2022/01/31 (15:03:01) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:03:01) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:03:57) | ===> btop++ v.1.1.4
2022/01/31 (15:03:57) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:03:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:04:20) | ===> btop++ v.1.1.4
2022/01/31 (15:04:20) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
2022/01/31 (15:04:20) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2022/01/31 (15:05:36) | ===> btop++ v.1.1.4
2022/01/31 (15:05:36) | WARNING: Failed to set locale en_US.UTF-8 continuing anyway.
